subject;session;trial;mode;time;distance;grid_distance;grid_backtracking;status;time_stamp
0;vr_maze_vr;VR;67,52084;197,2344;84;0;success;20/02/2023 17:22:32
0;vr_adaptation;VR;38,69979;49,60536;0;0;success;22/02/2023 12:43:09
0;adaptation;Desktop;26,86848;49,1041;17;0;success;22/02/2023 12:48:46
0;training;Desktop;46,88142;89,44801;17;16;training;22/02/2023 12:49:36
0;vr_maze;Desktop;29,74766;37,66878;10;0;fail;22/02/2023 12:50:10
0;adaptation;Desktop;20,86416;48,39304;17;0;success;22/02/2023 12:53:12
0;training;Desktop;9,704944;0;1;0;training;22/02/2023 12:53:35
0;vr_maze;Desktop;32,19787;42,06531;1;0;fail;22/02/2023 12:54:13
0;vr_maze;Desktop;10,09322;16,0465;1;0;fail;22/02/2023 12:54:28
0;vr_adaptation;VR;29,92585;54,54247;0;0;success;22/02/2023 12:56:51
0;vr_training;VR;12,64512;0;1;0;training;22/02/2023 12:57:11
0;vr_maze_vr;VR;11,67385;0;1;0;fail;22/02/2023 12:57:29
0;vr_maze_vr;VR;12,37622;0;1;0;fail;22/02/2023 12:57:47
0;adaptation;Desktop;25,25169;48,82666;17;0;success;22/02/2023 13:06:19
0;training;Desktop;10,21478;0;1;0;training;22/02/2023 13:06:33
0;vr_maze;Desktop;5,995292;0;2;0;fail;22/02/2023 13:08:01
0;vr_maze;Desktop;91,11868;229,439;90;3;success;22/02/2023 14:53:24
0;vr_maze;Desktop;91,11868;229,439;90;3;fail;22/02/2023 14:54:33
0;vr_maze;Desktop;67,72829;207,6148;87;2;success;22/02/2023 14:56:26
0;vr_maze;Desktop;72,62551;233,6808;88;3;success;22/02/2023 14:59:12
0;vr_maze;Desktop;75,27218;190,4692;90;1;success;22/02/2023 15:05:30
